location_name,vehicle,percent_of_population_eating_industrially_produced_vehicle,percent_of_population_eating_vehicle,percent_of_population_eating_fortified_vehicle,location_id,sodium,whole_grains,sdi,hh_salt,fao_maize_and_products,fao_rice_and_products,fao_wheat_and_products,fao_oil_all,parent_id
Bangladesh,oil,88.4,95.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,95.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,89.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,89.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,75.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,75.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,51.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,51.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,59.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,59.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,68.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,68.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,76.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,76.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,100.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,100.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,99.8,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,88.4,99.8,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,95.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,95.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,89.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,89.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,75.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,75.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,51.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,51.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,59.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,59.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,68.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,68.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,76.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,76.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,100.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,100.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,99.8,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.5,99.8,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,95.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,95.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,89.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,89.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,75.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,75.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,51.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,51.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,59.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,59.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,68.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,68.0,0.0,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
Bangladesh,oil,87.95,76.0,42.849572,161,1.8698000198640397,30.64506566715914,0.47523193662892,0.809816912489963,7.0,1728.0,164.0,178.0,159
